,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-39,3/30/2023 14:27:56,https://twitter.com/rico110922/status/1583084712939044864,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@rico110922,rico12,"“There comes a point in your life when you realize who really matters, who never did, and who always will.” — Unknown",Anonymous,2011-06-30 09:46:17+00:00,2319,2718,Philippines,"""The peso is weak because the dollar is strong” https://t.co/rXpDfsCIuw",,"Text,Image",2022-10-20 13:16:22+00:00,,Rational,8,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-40,3/30/2023 14:28:52,https://twitter.com/cutiengrpw/status/1583003875145289728,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@cutiengrpw,hayden! 🌻 3rd monthsary! 💙💛,"ako ang @CutieNgBuhayM :p | @082nvl's girlfriend, since 122422.",Anonymous,2021-04-09 10:51:37+00:00,1290,1374,Philippines,it's not that the peso is weak. it's just that the dollar is strong https://t.co/UaAs1W29tL,,"Text,Image",2022-10-20 07:55:09+00:00,,Rational,9,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/PhilippineStar/status/1583034100927332352,,
45-41,3/30/2023 14:30:23,https://twitter.com/pshfuckz/status/1582990036693569536,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@pshfuckz,ًvolt,⊹  ࣪ ׅ  ( 하늘. ) sunghoon . . !?,Anonymous,2022-10-12 14:07:21+00:00,743,778,Philippines,the 😤 peso 🤑 is 🦶 not 🚫 weak 😫 because 😁 the 👯 peso 🤑 is 🥓 weak 😫 the 👀 peso 🤑 is 😒 weak 😫 because 🤢 the 🗣️ dollar 💵 is 😐 strong 💪,,Text,2022-10-20 07:00:09+00:00,,Rational,2,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-42,3/30/2023 14:32:15,https://twitter.com/estepaniyaaaa/status/1582955606474096640,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@estepaniyaaaa,stephiee,"tw. kalat, s a d i s t, 98% callous",Anonymous,2022-09-22 12:29:22+00:00,229,81,Unidentified,HAPPENING NOW: “The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” https://t.co/TvNmhXMN7Z,,"Text,Image",2022-10-20 04:43:21+00:00,,Rational,14,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,loc based on bio ,No Quoted,,
45-43,3/30/2023 14:34:45,https://twitter.com/kphlnx/status/1582779618947633154,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@kphlnx,craig,,Anonymous,2021-10-04 16:30:29+00:00,1081,4127,Philippines,"""peso is not weak because peso is weak, peso is weak because the dollar is strong""",,Text,2022-10-19 17:04:02+00:00,,Rational,3,0,1,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-44,3/30/2023 14:36:11,https://twitter.com/RodjXXX/status/1582749562300948481,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@RodjXXX,Rodj,Manic pixie dream girl,Identified,2017-08-22 12:11:45+00:00,351,740,Unidentified,The PESO is not WEAK because PESO is WEAK. The PESO is WEAK because DOLLAR is STRONG.,,Text,2022-10-19 15:04:36+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-45,3/30/2023 20:05:59,https://twitter.com/aerontargaryen/status/1582610977761030145,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@aerontargaryen,Aaron G.,"The terrible troll raises his sword •
Serial catastrophizer",Anonymous,2010-06-22 12:59:46+00:00,234,152,Unidentified,"Ban K-stuff? Another story of the Peso is weak because the Dollar is strong. Same vibes. Sa halip na ayusin ang sarili, pupunahin ang pag-angat ng iba. Classic crab mentality.",,Text,2022-10-19 05:53:55+00:00,,Rational,3,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/LilySimpson1312/status/1582314450668773376,,
45-46,3/30/2023 20:07:15,https://twitter.com/leraleralaii/status/1582568635129729024,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@leraleralaii,broke leralaii,hello it me leralaii the digiartist : D IM NOT A BOT 😭 check twtmedia or my carrd for my artworks,Anonymous,2017-10-15 03:10:50+00:00,724,697,Unidentified,might have to update mah comm prices in the near future bc the peso is not weak because the peso is weak. the peso is weak becuase the dollar is strong 🤪🤡🤑💸❤️💚❤️💚❤️💚,,Text,2022-10-19 03:05:39+00:00,,Rational,3,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-47,3/30/2023 20:09:08,https://twitter.com/TeddiAvelino/status/1582370792628948993,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@TeddiAvelino,😇,fly for a basic guy,Identified,2009-11-29 23:58:49+00:00,183,90910,Unidentified,"And while the peso is weak bc the dollar is strong, most of the goods are also getting strongly unaffordable. Remember pancit canton when it was just Php6.00? Busog ka na sa Php20 mo noon. Ngayon kahit yung isang basong coke Php50+ na, eh 25 lang yung litro dati eh. Hays",,Text,2022-10-18 13:59:30+00:00,,Emotional,32,0,1,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-48,3/30/2023 16:57:35,https://twitter.com/simsunki_2/status/1582326505421430784,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@simsunki_2,97z brainrot,reicy⁷⁷ ; not a minor ; '04s ; she/her ; intp again ; stan & bns acc ; one who misses sunki & minwon ; my main @simsunki got locked,Anonymous,2021-10-25 04:10:24+00:00,1113,391,Philippines,what do you mean by we? dont you know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong. dont we-we us,,Text,2022-10-18 11:03:31+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-49,3/30/2023 16:58:45,https://twitter.com/acidscrambler/status/1582167093470195712,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@acidscrambler,Nicky Sr. (acidscrambler),"I’m a Psychic, and I’m good at it. I sense that right now there’s an idiot reading my bio.",Identified,2009-10-13 23:50:58+00:00,873,808,Philippines,"There is a saying, na di maintindihan ng nga Pinklawan; ""the peso is weak, not because it is weak. It is weak because the dollar is strong."" Tara mag Japan na tayo. https://t.co/PUGwfEhhjd",,"Text,Image",2022-10-18 00:30:04+00:00,,Emotional,9,1,3,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/jemtria/status/1582308397231222784,,
45-50,3/30/2023 17:00:04,https://twitter.com/dinonaROAR/status/1581991340979937281,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@dinonaROAR,lai🌱 | ia📓,"⁀➷ for #SEVENTEEN’s SCoups, Jeonghan, and Dino",Anonymous,2021-12-19 15:33:16+00:00,210,169,Philippines,The peso is weak not because the peso is weak. The peso is weak because the dollar is strong https://t.co/gJzOQzIykv,,"Text,Image",2022-10-17 12:51:42+00:00,,Emotional,1,2,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-51,3/30/2023 17:01:42,https://twitter.com/_127oclock/status/1581984139988807681,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@_127oclock,₍ᐢ. ̮.ᐢ₎ ᴮᴿᴱᴬᴰ ᴶᴬᴱ,✦ ꒰ for #NCT127 • #JAEHYUN #JOHNNY #MARK ꒱ ✦ loves BTS • BIGBANG,Anonymous,2022-03-04 00:38:04+00:00,66,15,Unidentified,nasa ₱3k yung the link+ sa beyond live 😢 laurd gusto ko lang naman sumaya pero the peso is not weak bcos it's weak. the peso is weak bcos the dollar is strong (bwakanang pinoy nga pala ako) 💔,,Text,2022-10-17 12:23:05+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-52,3/30/2023 17:03:41,https://twitter.com/_namochaeng/status/1581966704175124480,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@_namochaeng,X,"she/her 🇵🇭
ⓘ This user did not vote for Marcos Jr.",Anonymous,2014-04-10 11:35:42+00:00,336,485,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/uKWWRQiRJW,,"Text,Image,Quote",2022-10-17 11:13:48+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/WatcherGuru/status/1581746175304433664,,
45-53,3/30/2023 17:14:12,https://twitter.com/selbsie_bb/status/1581907881406103552,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@selbsie_bb,selbsie_BB💀,definitely will still wear a mask 😷,Anonymous,2016-12-27 02:43:35+00:00,278,253,Philippines,"uhm 
because the dollar is strong and the PH peso is weak 
because it is really really weak
like.. https://t.co/GsQTCAgF7m",,"Text,Image,Quote",2022-10-17 07:20:04+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/JYPETWICE/status/1581887735631155200,,
45-54,3/30/2023 17:15:58,https://twitter.com/1403_mj/status/1581835166879649792,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@1403_mj,MJ,,Anonymous,2020-05-01 14:58:02+00:00,109,91,Philippines,🔥🔥🔥🔥🔥🚒 Sunog! 🤣The peso is weak because the dollar is strong.,,Text,2022-10-17 02:31:07+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/inquirerdotnet/status/1579815664701026304,,
45-55,3/30/2023 17:18:22,https://twitter.com/kaeya_lillies/status/1581825448719175681,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@kaeya_lillies,❆「frostwind」❆ 146/180 for baizhu,"18+ / nsfw / kaeya main / antis dni / leaks / GI ar60, TOT lvl80 / no need to follow / no angst, me cri 🥲 /《💀🕊》pfp by: @Maay36uls",Anonymous,2021-08-03 06:24:08+00:00,946,108,Philippines,"""Like what a great philosopher once said, 'The peso is weak not because the peso is weak. The peso is weak because the dollar is strong.' What a great philosopher"" 

-Our GeSocSci 4 professor",,Text,2022-10-17 01:52:30+00:00,,Emotional,4,0,1,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-56,3/30/2023 17:20:40,https://twitter.com/marortoll/status/1581796292866740224,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@marortoll,The Buried Lead by Ramon Ortoll,Cook. Wide reader. Political crackpot. Old soul. Thinks outside of the box. Aspiring writer. Tech geek. Boomer. Former Chief of Staff. School of Hard Knocks.,Identified,2017-06-03 04:39:22+00:00,722,11090,Unidentified,"The peso is weak because the dollar is strong explanation caused quite a ruckus last week. Just because Sandro Marcos echoed it, he was accused of being stupid, much like his father. This was the opposition at its finest who immediately fell all over 
https://t.co/MAOzSfFdwz",,"Text,URL",2022-10-16 23:56:39+00:00,,Rational,37,1,7,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-57,3/30/2023 17:29:03,https://twitter.com/cnc_tribunephl/status/1581711669730111488,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@cnc_tribunephl,Concept News Central,Walang Takot. Walang Pabor.,Media,2020-09-25 04:27:50+00:00,176,474,Unidentified,"An adaptation from Sandro's ""The peso is weak because the dollar is strong."" https://t.co/w5ZEwq9el6",,"Text,Image",2022-10-16 18:20:23+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-58,3/30/2023 17:30:47,https://twitter.com/bnxcfully/status/1581646986142699520,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@bnxcfully,bianxc ◡̈,bns/stan account for txt and svt 💭,Anonymous,2021-12-21 09:32:13+00:00,130,73,Philippines,the peso 🤑 is weak 😰 because the 💰 peso is not 🚫 weak 😓. the peso is weak because the dollar 💵 is strong 💪,,Text,2022-10-16 14:03:21+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-59,3/30/2023 17:34:02,https://twitter.com/RichieHo3hoho/status/1581540929496023040,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@RichieHo3hoho,Richie/Alastair - Super IA,"Dtqk + funz and tina | i often tweet in all caps 😭 (I can't open my carrd) | sb to unf, I'm not your fan",Anonymous,2021-09-14 04:40:26+00:00,1472,1096,Philippines,"Guys always remember na the peso is not weak bcuz the peso weak, the peso is week bcuz the dollar is strong 🫶",,Text,2022-10-16 07:01:55+00:00,,Emotional,5,7,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-60,3/30/2023 17:50:14,https://twitter.com/theilluminaddy/status/1581505552928022528,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@theilluminaddy,nad ♈,Big fan of the weird and the different 🖤,Anonymous,2010-01-26 22:33:43+00:00,200,106,Philippines,"Ma, ang daming afam ngayon sa MOA. As in. Feeling ko nandito na ang mag-aahon sa pamilya ko sa laylayan ng lipunan.

Pero mas ramdam kong kaya sila dagsa dito dahil alam nilang the peso is weak because the dollar is strong. Eme 🤡",,Text,2022-10-16 04:41:21+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-61,3/30/2023 17:51:25,https://twitter.com/TIRSOPAGLICAWAN/status/1581497532924166144,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@TIRSOPAGLICAWAN,TIRSO PAGLICAWAN JR.,"BSCEgrad,paralegal/journalist;COCOFED, DepEd,CSC,PHLpost scholar;Jurymovement chair;DILGNapolcomPressClub VPprint;editor,The Market Monitor;OFW welfare advocate",Identified,2013-02-24 01:11:00+00:00,73,26,Philippines,"Gone in a snap:' OFW families bear brunt of weak peso

https://t.co/lVR10TXlXb

""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong."" - Sandro Marcos, Dev't Studies graduate from the London School of Economics

https://t.co/NF8p7pxjWX -",,"Text,URL",2022-10-16 04:09:29+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-62,3/30/2023 17:52:13,https://twitter.com/Trader4lyf/status/1581430691123802114,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@Trader4lyf,TradersApprentice,"former ibanker & founder 150K strong Traders Apprentice (TAP) 🇵🇭 🇺🇸🇸🇬🇦🇪investing group, Bitcoin advocate, Wharton MBA🇺🇸, global macro poker strategist",Anonymous,2013-07-06 12:03:10+00:00,1095,43878,Philippines,"Sandro Marcos got it right. The way he said is just kinda funny, but still right

The Peso is weak not because the Peso is weak but because the Dollar is strong

Peso is actually holding up well vs the other major currencies like Euro Yen etc https://t.co/h13sRydhYV",,"Text,Image",2022-10-15 23:43:52+00:00,,Rational,48,4,15,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-63,3/30/2023 17:53:58,https://twitter.com/LouieNarisma/status/1581427543340904448,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@LouieNarisma,Louie Narisma,Friendly and Optimistic person,Identified,2022-01-21 09:05:16+00:00,203,142,Unidentified,The peso is not weak because the peso is weak. The peso is weak hecaause the GASOLINE is DOLLAR making strong people SUFFER because the dollar is strong ☹️☹️☹️☹️ https://t.co/EHEEEw2bEy,,"Text,Image",2022-10-15 23:31:22+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-64,3/30/2023 17:54:33,https://twitter.com/condezfreddie67/status/1581291073174839297,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@condezfreddie67,alfredo condez,,Identified,2022-09-17 06:00:41+00:00,1,2,Unidentified,‘The peso is weak because  the dollar is strong’ https://t.co/rGFFFT9Hi3,,"Text,URL",2022-10-15 14:29:05+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-65,3/30/2023 18:11:43,https://twitter.com/jimmys_sp21/status/1581250833026809857,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@jimmys_sp21,J,HAHAHAHHAHAHHAHA kaluod,Anonymous,2022-03-18 03:24:00+00:00,72,71,Philippines,the peso is weak because the dollar is strong 😍,,Text,2022-10-15 11:49:11+00:00,,Emotional,3,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-66,3/30/2023 18:13:01,https://twitter.com/miss_jennalyn/status/1581244569722572800,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@miss_jennalyn,Jennalyn Gonzales,"wander and become lost • ambivert • tweet the uspoken words • music enthusiast, what do i do with it, here's the conclusionist • 🌻🌻🌻",Identified,2016-12-22 13:42:28+00:00,73,25,Philippines,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong",,Text,2022-10-15 11:24:18+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-67,3/30/2023 18:18:44,https://twitter.com/clarkis_back/status/1581127208814268417,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@clarkis_back,CLGA,Natatangi.,Anonymous,2021-11-18 02:04:48+00:00,60,23,Philippines,The peso is weak because the dollar is strong. 💯💯,,Text,2022-10-15 03:37:57+00:00,,Rational,0,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-68,3/30/2023 18:20:01,https://twitter.com/Abogado_PH/status/1581126466238316544,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@Abogado_PH,Abogado.com.ph,,Media,2017-01-20 07:23:27+00:00,41,13558,Unidentified,"Abogado Luke Espiritu was at a loss for words to explain his thoughts about Ilocos Norte Rep. Sandro Marcos’ viral explanation that “the peso is weak because the dollar is strong.”
https://t.co/5yZ4xBIt1O
#AbogadoNews",,"Text,URL",2022-10-15 03:35:00+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-69,3/30/2023 18:22:59,https://twitter.com/shalynney/status/1580966964972859393,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@shalynney,dump po,🫶🏻 - i🫰🏻- e,Anonymous,2022-10-07 03:51:23+00:00,0,0,Philippines,"the peso is not weak bcs the peso is weak, the peso is weak bcs the dollar is strong",,Text,2022-10-14 17:01:12+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-70,3/30/2023 18:24:03,https://twitter.com/runacolls/status/1580966886736814082,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@runacolls,✧.* | shipping on sat,– for #하니 #레이 ~ feedbacks @ #kiaslovemails !,Anonymous,2022-09-08 14:09:36+00:00,126,202,Philippines,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,,Text,2022-10-14 17:00:53+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-71,3/30/2023 18:24:39,https://twitter.com/louisismedicine/status/1580958680060944384,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@louisismedicine,kea got flipped off by louis,#LOUIS: keep your head up love || she/her ✿,Anonymous,2020-06-12 09:17:13+00:00,1453,1152,Unidentified,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,,Text,2022-10-14 16:28:16+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-72,3/30/2023 18:26:07,https://twitter.com/rkivesk/status/1580949672956338177,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@rkivesk,kate⁷ 🪞,mi casa: @BTS_twt,Anonymous,2020-05-30 23:00:19+00:00,259,190,Philippines,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong amputa HAHAHAHAHAHAHA Lt Gago sana naging comedian ka nlng po nakaka entertain ka masyado yung utak niyo kasi kajolen lang eh charot HAHAHAHAHAHA LT NIYO SIR SANDRO LABYU LODI ✌️💚❤️😅",,Text,2022-10-14 15:52:29+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-73,3/30/2023 18:28:20,https://twitter.com/waningnin/status/1580947320920715264,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@waningnin,angel,happily inlove,Anonymous,2022-09-14 21:25:18+00:00,6,5,Philippines,"""the peso is not weak because the peso is weak, the peso is weak be because the the dollar is strong""

okay this is how it means for y'all hindi marunong mosabot, It is weak because the demand of dollar is strong. y'all should know abt forex jeez",,Text,2022-10-14 15:43:08+00:00,,Emotional,1,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-74,3/30/2023 19:06:13,https://twitter.com/zhypdb/status/1580928329380925441,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@zhypdb,tsun,🙏🙏🙏,Anonymous,2020-05-31 10:42:11+00:00,607,150,Philippines,the peso is not weak bc the peso is weak the peso is weak bc the dollar is strong,,Text,2022-10-14 14:27:40+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-75,3/30/2023 19:08:52,https://twitter.com/thedriveintest/status/1580902062942191617,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@thedriveintest,Jay_under,"here, there and everywhere, pastilan!",Anonymous,2017-10-21 07:00:31+00:00,670,72,Unidentified,The peso is weak because the dollar is strong.,,"Text,Quote",2022-10-14 12:43:18+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
