ID,FLAG,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-153,ACCEPT,3/30/2023 18:28:20,https://twitter.com/waningnin/status/1580947320920715264,67,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@waningnin,angel,happily inlove,Anonymous,2022-09-14 21:25:18+00:00,6,5,Philippines,"""the peso is not weak because the peso is weak, the peso is weak be because the the dollar is strong""

okay this is how it means for y'all hindi marunong mosabot, It is weak because the demand of dollar is strong. y'all should know abt forex jeez",,Text,2022-10-14 15:43:08+00:00,, Emotional,1,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-154,ACCEPT,3/30/2023 19:06:13,https://twitter.com/zhypdb/status/1580928329380925441,67,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@zhypdb,tsun,🙏🙏🙏,Anonymous,2020-05-31 10:42:11+00:00,607,150,Philippines,the peso is not weak bc the peso is weak the peso is weak bc the dollar is strong,,Text,2022-10-14 14:27:40+00:00,, Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-155,REJECT,,https://twitter.com/jayetria/status/1580916062589456389,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@jayetria,jayetria,"☕🍫🎸 | #romanceclass author 📚
LATEST: Love to Meet You | Adaptation rights repped by @romanceclassbks. Send inquiries to @minavesguerra 🖤",ERROR,2010-12-11 16:51:11+00:00,572,966,,gusto ko yung pina explain saken kanina yung ~the peso is weak because the dollar is strong lol,,,2022-10-14 13:38:55+00:00,,,3,1,0,0,Unidentified,ERROR,,,No Quoted,,
45-156,HELP,,https://twitter.com/itimatblack/status/1580905486144401413,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@itimatblack,black flag. %0|%0,"kasi white (flag) is surrender.

yun lang. walang pakahulugan o kung ano.

golagat posting

gatâ/acc
(Fil/Eng/maybe Eo)
(any/any. inanimate preferred)",ERROR,2020-06-07 12:41:48+00:00,285,110,,"“The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.”

EH DI TIGILAN NYO YUNG PAGIGING NEOLIBERAL NYO WAHAHAHHAHAHAHA NICE",,,2022-10-14 12:56:54+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-157,ACCEPT,3/30/2023 19:08:52,https://twitter.com/thedriveintest/status/1580902062942191617,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@thedriveintest,Jay_under,"here, there and everywhere, pastilan!",Anonymous,2017-10-21 07:00:31+00:00,670,72,Unidentified,The peso is weak because the dollar is strong.,,"Text,Quote",2022-10-14 12:43:18+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/rowena_guanzon/status/1580727954891767808,,
45-158,HELP,,https://twitter.com/LipaBatangas/status/1580884390112296961,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@LipaBatangas,LipaCityBatangas,"Sino ga'ng taga rine sa amin sa Lipa? Sa mga hindi taga rine...Ah-ah, ala'y pagkakaganda rine, ay parine na't nang mamataan...",ERROR,2013-03-21 15:46:16+00:00,1,137,,"Explainer: Why Is Peso Weak, Dollar Strong-- https://t.co/8SkE14J1Kf - https://t.co/8SkE14J1Kf https://t.co/Zj9tPPNJu5 https://t.co/LuU7NnTGdC",,,2022-10-14 11:33:04+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-159,REJECT,,https://twitter.com/W_Lacus/status/1580883017291087872,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@W_Lacus,alec,wag mo nang replyan.,ERROR,2020-07-21 13:55:07+00:00,50,14,,"If the peso is weak because the dollar is strong, how many apples does Jacob have?",,,2022-10-14 11:27:37+00:00,,,2,1,0,0,Unidentified,ERROR,,,https://twitter.com/arnoldpadilla/status/1579813013460496387,,
45-160,ACCEPT,3/30/2023 19:11:52,https://twitter.com/vrdnfl/status/1580882568408227841,68,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@vrdnfl,leo ! 🫀,“jag skulle kunna få vara fri. från det hār... från... jag skulle kunna få vara fri med dig.”,Anonymous,2021-02-11 09:22:17+00:00,227,235,Unidentified,“the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.” ano daw💀💀,,Text,2022-10-14 11:25:50+00:00,, Emotional,0,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-161,ACCEPT,3/30/2023 19:13:33,https://twitter.com/hui4shu/status/1580877025220661248,68,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@hui4shu,ele,hannie's bff,Anonymous,2021-12-11 16:28:18+00:00,1199,1306,Philippines,saulo ko na yung the peso is not weak because the peso is weak the peso is weak because the dollar is strong,,Text,2022-10-14 11:03:48+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-162,ACCEPT,3/30/2023 19:14:22,https://twitter.com/yawnjvun/status/1580876007120441344,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@yawnjvun,jiji,heart eyes for hyuka,Anonymous,2022-06-16 01:16:48+00:00,683,739,Philippines,The peso is not weak bc the peso is weak the peso is weak bc the dollar is strong,,Text,2022-10-14 10:59:46+00:00,, Rational,3,2,0,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-163,REJECT,,https://twitter.com/jsoovelvet/status/1580835741554221056,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@jsoovelvet,margo ❤🥀,pls look away if u see me oversharing 😝,ERROR,2020-11-03 08:11:10+00:00,284,123,,"Yay kabisado ko na ang ehem mic test mic test,, ""I would like to make one thing clear, the peso is not weak because the peso is weak. The peso is weak because the dollar is strong"" MICDROP PURR",,,2022-10-14 08:19:45+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-164,HELP,,https://twitter.com/NJ_0922/status/1580821871687528449,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@NJ_0922,NJ the Adobo Czar,"JD and BA PolSci @uscphilippines. Mulat, ang masa ang Mesias.",ERROR,2012-02-09 04:48:25+00:00,490,340,,"Remember when Leni said “Rape is caused by rapists” which is right naman, pero gikatawan sa mga BBMers ky “bobo lutang” daw w/o bothering to look at the context? Karon si Sandro niingon “Peso is not weak; dollar is strong” which has some truth to it nmn, but BBMers are suddenly -",,,2022-10-14 07:24:39+00:00,,,2,1,0,0,Unidentified,ERROR,,,No Quoted,,
45-165,ACCEPT,3/30/2023 19:18:08,https://twitter.com/gyuhoonist/status/1580802656783986689,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@gyuhoonist,reese,"#구훈 — on science, tea, and svt • fan acc",Anonymous,2017-09-17 17:23:33+00:00,3761,3842,Philippines,"nyenyenye magalit man kayo sakin the peso is not weak bc the peso is weak, the peso is weak bc the dollar is strong!",,Text,2022-10-14 06:08:17+00:00,, Emotional,2,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-166,ACCEPT,3/30/2023 19:37:05,https://twitter.com/maetamongfairy/status/1580795890075213826,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@maetamongfairy,kat,"#hoony: let's protect it, WINNER forever.",Anonymous,2019-07-06 11:22:01+00:00,176,470,Philippines,peso is weak bc dollar is strong,,"Text,Quote",2022-10-14 05:41:24+00:00,, Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/LucasImperial5/status/1580355832872828928,,
45-167,REJECT,,https://twitter.com/airout_/status/1580788507760414721,69,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@airout_,airout🐰,mostly simping and giving unsolicited opinions | what are you doing here?,ERROR,2020-10-10 15:59:25+00:00,175,25,,"Ehhh???? “The philippine peso is not weak, because it’s weak, Dollar is just strong now” vibes yall",,,2022-10-14 05:12:04+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/livenationph/status/1580779840419991553,,
45-168,REJECT,,https://twitter.com/connectokit/status/1580786908359462912,69,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@connectokit,Kit Cabullo,Extraordinarily clumsy. Married to Julie. Kara's Daddy Panda. Disciple of Christ. twine.fm/connectokit,ERROR,2010-10-02 07:57:04+00:00,678,169,,"Me looking at new books in Amazon:

""The spirit is willing but the dollar is strong and the peso is weak.""",,,2022-10-14 05:05:43+00:00,,,1,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-169,REJECT,,https://twitter.com/yoon2097/status/1580781581169745920,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@yoon2097,₍ᐢ ›̥̥̥ ‸ ‹̥̥̥ ᐢ₎,"dojae lovebot and au writer (open link👇) • 10vely, Doppu, Seulmate, Ningmeng, Loveyu • asian • UP Iskolar 🌻(ᓀ‸ᓂ)",ERROR,2018-11-20 06:47:23+00:00,358,791,,"Jaedo layag in us not because peso is weak, but jaedo layag in us because dollar is strong",,,2022-10-14 04:44:33+00:00,,,34,0,12,1,Unidentified,ERROR,,,https://twitter.com/ikinalulugod/status/1580768330923012096,,
45-170,REJECT,,https://twitter.com/Dadnlmarzany/status/1580776047548977152,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@Dadnlmarzany,mr.dan,BLM・his/him/hes.hot・bi 🍒,ERROR,2011-10-12 00:04:02+00:00,1432,1288,,Peso weak to dollar strong eme,,,2022-10-14 04:22:33+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/LucasImperial5/status/1580355832872828928,,
45-171,HELP,,https://twitter.com/Momorenph/status/1580759683337318400,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@Momorenph,Momo,"Borderline degen

Level 69 shitposter",ERROR,2019-10-10 09:57:36+00:00,738,805,,"June 2022

“It’s a strong dollar, not a weak peso,” Medalla who is a Monetary Board member since 2011, told Manila Bulletin

Ppl forgot to lose their minds &amp; rage about 4 months ago lmeow

https://t.co/xzUVsJUcWV https://t.co/HfH0TwZ2KQ",,,2022-10-14 03:17:32+00:00,,,15,1,0,0,Unidentified,ERROR,,,No Quoted,,
45-172,REJECT,,https://twitter.com/FronterasRonel/status/1580742471927021569,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@FronterasRonel,Fronti,,ERROR,2018-04-06 06:32:00+00:00,303,173,,"Peso weak, dollar strong. https://t.co/TXOa3XwCej",,,2022-10-14 02:09:08+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-173,HELP,,https://twitter.com/AmiTSSur/status/1580737307656609792,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@AmiTSSur,Ami,,ERROR,2021-08-10 12:23:41+00:00,53,2,,"Mali yung backdrop dapat F1 Racing!!! 

Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/zd6A5Bnzs5",,,2022-10-14 01:48:37+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-174,ACCEPT,3/30/2023 19:44:09,https://twitter.com/eyesgonzales/status/1580733387173933056,70,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@eyesgonzales,Iris Gonzales,"reporter and columnist, @philippineStar EyesWideOpen (Tuesday/Thursday/Sunday) Iskolar Ng Bayan/Konrad Adenauer Fellow/Iceland Writers Alumna",Media,2009-05-25 10:16:15+00:00,2004,3613,Unidentified,My column today. #EyesWideOpen 'The peso is weak because  the dollar is strong’ https:// https://t.co/r0mijWWQFy,,"Text,URL",2022-10-14 01:33:02+00:00,, Rational,1,0,2,1,Unidentified,NEED CONTEXT,,,No Quoted,,
45-175,REJECT,,https://twitter.com/bannbanneri/status/1580707581034569728,70,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@bannbanneri,Vann,Dumping my thoughts here,ERROR,2014-02-13 13:55:30+00:00,57,265,,peso is weak and dollar is strong but iphone is stronger HAAHAH shuta,,,2022-10-13 23:50:30+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/philstarlife/status/1580607090410000384,,
45-176,HELP,,https://twitter.com/speaksnow8/status/1580706445825544192,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@speaksnow8,Czar Patola,"#LeniKikoAllTheWay2022
My tweets stay in Twitter. Rant Account.
Makalat po ako, at hindi nagwawalis.",ERROR,2011-05-23 09:18:57+00:00,992,896,,"The peso is weak because the dollar is strong. 
Sige na nga.

So ano ang ginagawa ng gobyerno para siguruhing hindi malakas ang sampal nito sa kabuhayan ng naghihirap na  Pilipino?",,,2022-10-13 23:45:59+00:00,,,2,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-177,ACCEPT,3/30/2023 19:48:17,https://twitter.com/monokjell/status/1580699808695996417,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@monokjell,keyjeyeleeleleeel 🦖🌸💕,arquitecto | la puta ama | ♑️,Identified,2010-07-08 11:24:32+00:00,274,193,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.,,"Text,Quote",2022-10-13 23:19:37+00:00,, Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/linyalinya/status/1580518599524986880,,
45-178,ACCEPT,3/30/2023 19:49:48,https://twitter.com/yuks_bio/status/1580695783921577984,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@yuks_bio,Yuk,,Anonymous,2022-04-27 17:23:03+00:00,31,0,Philippines,"Wait, is this about the Peso Weak/Dollar Strong? Also questioning his achievements, when in fact the Peso Weak/Dollar Strong statement was actually right too? You can't hate on something right, that's idiotic. Please explain what the tweet was talking about.",,"Text,Quote",2022-10-13 23:03:37+00:00,, Transactional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/MiaMagdalena/status/1580328809173504000,,
45-179,REJECT,,https://twitter.com/DaGr8_ii/status/1580615350130860033,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@DaGr8_ii,Mr. U-Belt,"Alex, an unequivocally minima. Pura Vida!",ERROR,2014-02-07 15:00:20+00:00,520,238,,"The peso is weak because the dollar is strong

.... ay iba pala yon",,,2022-10-13 17:44:00+00:00,,,1,0,0,0,Unidentified,ERROR,,,https://twitter.com/bookpoets/status/1580463648417361921,,
45-180,HELP,,https://twitter.com/malebag1999/status/1580591769116299268,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@malebag1999,malebag,"#ProLife #ProDemocracy #AdvocateOfHR #GoodGovernance
What goes around, comes around. Calling out govt lapses is your constitutional right.",ERROR,2022-09-29 06:14:24+00:00,337,109,,"LBM: We do not have any territorial conflict with China. What we have is China illegally occupying our territories. 

Sandra:  The Peso is not weak because it is weak. It is weak because the Dollar is strong.

Upon hearing this, LBM says...

I WISH MY SON A PATH TO REDEMPTION.",,,2022-10-13 16:10:18+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-181,ACCEPT,3/30/2023 19:52:48,https://twitter.com/its_nikanikz/status/1580561916464070661,71,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@its_nikanikz,ᜈᜒᜃ᜔ᜎᜒ,✊🏼 #AbanteBabae,Anonymous,2012-05-30 06:50:20+00:00,597,326,Unidentified,"We all know that the dollar is strong  and peso is weak. But are they doing anything to atleast combat the effects of the weakness of peso?

Yes we can't control such but we can control our own. All we want to see is for the gov to support the domestic economy.",,Text,2022-10-13 14:11:40+00:00,, Transactional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-182,HELP,,https://twitter.com/kizunadom/status/1580557474985230337,71,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@kizunadom,KazuraDrop,"Lost in Life, but its not about the destination, its about the journey and the friends we made along the way.",ERROR,2022-09-14 11:23:28+00:00,33,16,,"No the peso is not weak because the dollar is strong , the whole world is going through a recession and all the economic bubble is popping, and the damn government just will leave it's citizen to rot throughout all of this. GG graduates",,,2022-10-13 13:54:02+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-183,REJECT,,https://twitter.com/risyelan/status/1580555945653870592,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@risyelan,レーチェル,cancer sun. scorpio moon. aries rising.,ERROR,2009-06-18 08:43:54+00:00,233,129,,"Nakakagutom yung mga recipes ni Chef Tatung sa YT channel niya. Gusto kong magluto at kumain ng masarap, pero in this economy na the peso is weak because the dollar is strong to hold on, cause I'll prove you wrong that I can move on through this song 🎶🎵",,,2022-10-13 13:47:57+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-184,REJECT,,https://twitter.com/stunninglino/status/1580555358585905152,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@stunninglino,sophia; pcd era 🥟,✎༉‧ | #현진 | ✩࿐,ERROR,2021-04-25 10:02:38+00:00,674,1465,,peso ₱ is not weak😖 because ₱eso is weak🚶🏻‍♀️ the ₱ is weak😓 because the dollar💰 is strong💪🏼 aye domino😎flick 🤌🏼 and a drop⬇️ and i see 👀 it all fall down📉 shakin'💃🏻 the world 🌎 magnitude🏚 makin' everything🏙 crumble👊🏼 like blah👅 blah👅,,,2022-10-13 13:45:37+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/LeftPermanently/status/1580554802433470465,,
45-185,ACCEPT,3/30/2023 19:55:22,https://twitter.com/Krazey88/status/1580546207142666240,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Krazey88,Crazy88,,Anonymous,2013-05-31 16:45:27+00:00,600,400,Philippines,"Tell me the peso is weak without telling me the peso is weak.

Answer: The dollar is strong.",,Text,2022-10-13 13:09:15+00:00,, Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-186,HELP,,https://twitter.com/IT_IS_ME3656/status/1580545175444561921,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@IT_IS_ME3656,ALAMANO IS NOT MY PRESIDENT.,,ERROR,2022-01-22 03:05:51+00:00,1957,3371,,"Sandrong anak ni Alamanong anak ni FEM na MAGNANAKAW at MAMAMATAY-TAO alis na kayo sa Malakanyang dahil wala kayong karapatan dyan.

Sandro sikat ka na ngayon dahil sa WEAK yong PESO natin at strong and DOLLAR.
@bongbongmarcos @SenImeeMarcos . https://t.co/SdLtAYhX22",,,2022-10-13 13:05:09+00:00,,,1,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-187,REJECT,,https://twitter.com/DheniseArchie/status/1580544478729076737,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@DheniseArchie,Lali saw Harry | #SS9inManila PCD 💙 | 🐧🥑,super junior | 1D | styles,ERROR,2009-05-14 10:00:08+00:00,1437,1049,,"ako lang ba, parang medyo malayo talaga ang possibility na makapag concert si taylor swfit sa pinas??? I mean, the peso is weak because the dollar is strong¿¿¿¿¿ https://t.co/hLxj1waO1g",,,2022-10-13 13:02:23+00:00,,,4,3,0,0,Unidentified,ERROR,,,No Quoted,,
45-188,ACCEPT,3/30/2023 19:57:06,https://twitter.com/ForbelleBryan/status/1580541558432014336,72,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ForbelleBryan,Bryan Forbelle,,Identified,2021-10-23 16:26:43+00:00,133,10,Unidentified,"Peso is not weak
Because peso is weak
The peso is weak because
The dollar is strong
- cong. Sandro Marcos",,Text,2022-10-13 12:50:47+00:00,, Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-189,REJECT,,https://twitter.com/gaelleum/status/1580523236328378368,72,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@gaelleum,yno-la holmes,"malayo pa, malayo na. | pshs '26",ERROR,2018-06-10 02:01:21+00:00,537,535,,"the peso is not weak because the dollar is strong, the peso is weak because the government is weak making the economy weak and the people even weaker haha !",,,2022-10-13 11:37:58+00:00,,,15,0,1,0,Unidentified,ERROR,,,https://twitter.com/inquirerdotnet/status/1579829265058918401,,
45-190,REJECT,,https://twitter.com/prettyphuwin/status/1580521756892139521,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@prettyphuwin,Lea 🌙 | FACE 0324,99 🇵🇭 | ⚖️ ♉️ | thai & kpop | rant space and stan acc ✨,ERROR,2020-04-20 04:47:06+00:00,908,1276,,"its giving ""the peso is not weak, the peso is weak because the dollar is strong""",,,2022-10-13 11:32:06+00:00,,,0,0,0,0,Unidentified,ERROR,,,https://twitter.com/kaindimew/status/1580519935905697792,,
45-191,ACCEPT,3/30/2023 19:58:01,https://twitter.com/TwTngna/status/1580520422608867328,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@TwTngna,engr.zed,"👷🏼 engi-near
🎾 tennista",Anonymous,2022-07-18 13:24:45+00:00,126,98,Philippines,bakit naman ganyan Senator. the peso is not weak. the peso is weak because the dollar is strong. ganun yun,,"Text,Quote",2022-10-13 11:26:48+00:00,, Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/iampinglacson/status/1580411454070886400,,
45-192,HELP,,https://twitter.com/rantdumpsters/status/1580509729507274753,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@rantdumpsters,RantDumpy,anything goes.,ERROR,2020-03-30 16:43:03+00:00,21,4,,"If the peso is weak because the dollar is strong, then are we just going to wait until the dollar depreciates for our peso to appreciate? 😓",,,2022-10-13 10:44:18+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-193,REJECT,,https://twitter.com/RjCagatin_/status/1580500840342642688,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@RjCagatin_,RJ💙,LPT | live until you are ready to bloom🌸,ERROR,2022-09-15 06:30:36+00:00,194,222,,"let the peso say it’s weak, and let the dollar say it’s strong and the admin of today stays and does not do anything for it.🫠🫠",,,2022-10-13 10:08:59+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-194,ACCEPT,3/30/2023 20:00:23,https://twitter.com/angelfajardomd/status/1580500763737935872,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@angelfajardomd,Angelica S. Fajardo,MD,Identified,2009-07-26 10:52:27+00:00,161,173,Unidentified,No! The peso is too weak because the dollar is too strong. 🤪,,"Text,Quote",2022-10-13 10:08:41+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/bookpoets/status/1580463648417361921,,
45-195,ACCEPT,3/30/2023 20:01:01,https://twitter.com/_heraacles/status/1580499751875006465,73,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@_heraacles,Tea Back ⊰⊹ฺ,"🌸 she / her , '07 | dumpsite 🌺 mg",Anonymous,2020-07-17 08:34:44+00:00,224,22,Philippines,"the peso is not weak because the peso is weak, its because the dollar is strong 😍💪💪 https://t.co/KLAQPZdyuD",,"Text,Image",2022-10-13 10:04:39+00:00,, Rational,3,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-196,REJECT,,https://twitter.com/badwistouch/status/1580498813671813121,73,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@badwistouch,jev 🍀,🍀,ERROR,2020-07-05 12:35:09+00:00,1143,1199,,"""the peso is not weak, because the peso is weak. The peso is weak because the dollar is strong"" a great philosopher once said",,,2022-10-13 10:00:56+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
45-197,REJECT,,https://twitter.com/LinggoMayoo/status/1580496850083545089,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@LinggoMayoo,❤️‍🔥,"if the shoe fits, wear it Cinderella🤷🏻‍♀️",ERROR,2020-04-19 07:42:30+00:00,226,241,,Ganito sana hindi yung “peso is weak because the dollar is strong”😀,,,2022-10-13 09:53:07+00:00,,,1,0,0,0,Unidentified,ERROR,,,https://twitter.com/PinoyAkoBlog/status/1580355961172406272,,
45-198,HELP,,https://twitter.com/BDaveries/status/1580495306927415298,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@BDaveries,blair daveries,,ERROR,2021-12-29 00:22:33+00:00,71,8,,"Memes satirize Sandro Marcos saying ‘peso is weak because dollar is strong’, but was he wrong? https://t.co/weI2ye4G6j via @yahooph 'sandro is weak bec he is weak, and his tatay is weaker than the weak one earlier..'😜''",,,2022-10-13 09:47:00+00:00,,,0,0,0,0,Unidentified,ERROR,,,No Quoted,,
